index,"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test)
91,"[(0.3, 0.35), (0.0, 0.05), (0.65, 0.7)]",18,2,0.8,14.722568286739886,0.00012454651922200188
92,"[(0.25, 0.3), (0.3, 0.35), (0.35, 0.4)]",68,52,0.13333333333333333,2.1396997031147924,0.1435299849474052
93,"[(0.25, 0.3), (0.3, 0.35), (0.4, 0.45)]",89,49,0.2898550724637681,11.762267758318696,0.0006044354033670762
94,"[(0.25, 0.3), (0.25, 0.3), (0.4, 0.45)]",108,49,0.37579617834394907,22.725766090126974,1.8684563271031962e-06
95,"[(0.25, 0.3), (0.25, 0.3), (0.45, 0.5)]",129,40,0.5266272189349113,49.31993803968899,2.174371793728369e-12
96,"[(0.25, 0.3), (0.2, 0.25), (0.45, 0.5)]",127,25,0.6710526315789473,,0.0
97,"[(0.25, 0.3), (0.2, 0.25), (0.5, 0.55)]",114,20,0.7014925373134329,72.8249151793257,0.0
98,"[(0.25, 0.3), (0.15, 0.2), (0.5, 0.55)]",74,11,0.7411764705882353,52.33963688761817,4.668487818548783e-13
99,"[(0.25, 0.3), (0.15, 0.2), (0.55, 0.6)]",54,13,0.6119402985074627,26.951871519584802,2.0858508187338032e-07
100,"[(0.25, 0.3), (0.1, 0.15), (0.55, 0.6)]",57,12,0.6521739130434783,31.89321741090138,1.6288492554750178e-08
101,"[(0.25, 0.3), (0.1, 0.15), (0.6, 0.65)]",57,8,0.7538461538461538,41.61769758637616,1.1098399976816609e-10
102,"[(0.25, 0.3), (0.05, 0.1), (0.6, 0.65)]",32,12,0.45454545454545453,9.433121478562708,0.0021310126021915066
103,"[(0.25, 0.3), (0.05, 0.1), (0.65, 0.7)]",44,1,0.9555555555555556,52.792309955873286,3.7070346792233977e-13
104,"[(0.25, 0.3), (0.0, 0.05), (0.65, 0.7)]",44,1,0.9555555555555556,52.792309955873286,3.7070346792233977e-13
105,"[(0.25, 0.3), (0.0, 0.05), (0.7, 0.75)]",48,2,0.92,52.52030328257723,4.2577052994374753e-13
106,"[(0.2, 0.25), (0.35, 0.4), (0.4, 0.45)]",66,53,0.1092436974789916,1.423006396736066,0.23290919811635002
107,"[(0.2, 0.25), (0.3, 0.35), (0.4, 0.45)]",88,39,0.3858267716535433,19.404951648020674,1.0573256306156686e-05
